@relation NSP
@attribute 'a' numeric
@attribute 'b' numeric
@attribute 'c' numeric
@attribute 'd' numeric
@attribute 'e' numeric
@attribute 'f' numeric

@attribute 'class' { 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}
@data
7,12,60.3274507,24.9473634,0.00404358,0.00376034,12
7,13,60.2335752,24.6205545,0.00117111,0.00423145,8
7.3767581494,6,60.3473329941,24.6294274854,0.0007925,0.03594208,9
7.6930300697,31,60.1984096272,24.6839981437,0.00433445,0.00282097,3
7.8437679553,33,60.370845179,24.9444054652,0.0941782,0.09727955,1
8,37,60.2324749,24.9722249,0.00400066,0.00118446,11
8,41,60.3424914,25.246303,0.0941782,0.00046062,6
8,47,60.231226,24.4532002,0.00122643,0.00418854,8
8,21,60.2540954,24.7920673,0.0941782,0.00396824,1
8,24,60.3213225,25.1435308,0.00102711,0.00038338,6
8,30,60.3613485,24.8300076,0.00038338,0.31049156,7
8,7,60.2499937,24.3673468,0.0941782,0.00395679,6
8,12,60.3274507,24.9473634,0.00404358,0.00376034,12
8,13,60.2335752,24.6205545,0.00117111,0.00423145,8
8,49,60.2864558,24.6896963,0.02894211,0.1327095,1
8,49,60.2864558,24.6896963,0.02894211,0.1327095,1
8.4357815654,23,60.1390609782,24.5535449408,0.00199699,0.15868092,1
9,21,60.2540954,24.7920673,0.0940609,0.00396824,1
9,24,60.3213225,25.1435308,0.00102711,0.00038338,6
9,30,60.3613485,24.8300076,0.00038338,0.31049156,7
9,49,60.2864558,24.6896963,0.02894211,0.1327095,1
9,37,60.2324749,24.9722249,0.00400066,0.00118446,11
9,41,60.3424914,25.246303,0.0940609,0.00046062,6
9,47,60.231226,24.4532002,0.00122643,0.00418854,8
9,7,60.2499937,24.3673468,0.0940609,0.00395679,6
9,12,60.3274507,24.9473634,0.00404358,0.00376034,12
9,13,60.2335752,24.6205545,0.00117111,0.00423145,8
9.4916346606,20,60.1634375801,24.6661503052,0.12706947,0.56781006,11
9.8512267247,28,60.43829,24.9815618221,0.00056744,0.54309273,11
10,21,60.2540954,24.7920673,0.09450817,0.00396824,1
10,24,60.3213225,25.1435308,0.00102711,0.00038338,6
10,30,60.3613485,24.8300076,0.00038338,0.31049156,7
10,7,60.2499937,24.3673468,0.09450817,0.00395679,3
10,12,60.3274507,24.9473634,0.00404358,0.00376034,12
10,13,60.2335752,24.6205545,0.00117111,0.00423145,8
10,49,60.2864558,24.6896963,0.02894211,0.1327095,1
10,37,60.2324749,24.9722249,0.00400066,0.00118446,11
10,41,60.3424914,25.246303,0.09450817,0.00046062,6
10,47,60.231226,24.4532002,0.00122643,0.00418854,8
10.1627009484,22,60.3024322779,25.158164852,0.01783085,0.05529022,5
11,21,60.2540954,24.7920673,0.09562683,0.00396824,1
11,24,60.3213225,25.1435308,0.00102711,0.00038338,6
11,30,60.3613485,24.8300076,0.00038338,0.31049156,7
11,37,60.2324749,24.9722249,0.00400066,0.00118446,11
11,41,60.3424914,25.246303,0.09562683,0.00046062,6
11,47,60.231226,24.4532002,0.00122643,0.00418854,8
11,7,60.2499937,24.3673468,0.09562683,0.00395679,3
11,12,60.3274507,24.9473634,0.00404358,0.00376034,12
11,13,60.2335752,24.6205545,0.00117111,0.00423145,8
11,49,60.2864558,24.6896963,0.02894211,0.1327095,1
11.209804645,29,60.3827117179,25.0254018688,0.00102711,0.00059891,10
12,21,60.2540954,24.7920673,0.09795094,0.00396824,1
12,24,60.3213225,25.1435308,0.00102711,0.00038338,6
12,30,60.3613485,24.8300076,0.00038338,0.31049156,7
12,49,60.2864558,24.6896963,0.02894211,0.1327095,1
12,37,60.2324749,24.9722249,0.00400066,0.00118446,11
12,41,60.3424914,25.246303,0.09795094,0.00046062,12
12,47,60.231226,24.4532002,0.00122643,0.00418854,8
12,7,60.2499937,24.3673468,0.09795094,0.00395679,3
12,12,60.3274507,24.9473634,0.00404358,0.00376034,12
12,13,60.2335752,24.6205545,0.00117111,0.00423145,8
12.0537296433,16,60.315553414,24.8991499515,0.03935814,0.53582478,11
12.7328973821,2,60.3605202203,24.4421330763,0.00199699,0.17327404,1
13,7,60.2499937,24.3673468,0.09406185,0.00395679,3
13,12,60.3274507,24.9473634,0.00404358,0.00376034,12
13,13,60.2335752,24.6205545,0.00117111,0.00423145,8
13,49,60.2864558,24.6896963,0.02894211,0.1327095,7
13,21,60.2540954,24.7920673,0.09406185,0.00396824,1
13,24,60.3213225,25.1435308,0.00102711,0.00038338,6
13,30,60.3613485,24.8300076,0.00038338,0.31049156,7
13,37,60.2324749,24.9722249,0.00400066,0.00118446,11
13,41,60.3424914,25.246303,0.09406185,0.00046062,12
13,47,60.231226,24.4532002,0.00122643,0.00418854,8
13.0371635426,32,60.2746024718,24.7791889604,0.0011549,0.10888577,11
13.2225143743,39,60.2418536612,24.3520947648,0.09600163,0.0054121,4
13.3406149024,50,60.2662290918,24.4846039647,0.0041008,0.00628281,10
13.5244216456,35,60.3019281928,25.245277506,0.09600163,0.00133133,2
14,37,60.2324749,24.9722249,0.00400066,0.00118446,11
14,41,60.3424914,25.246303,0.09600163,0.00046062,12
14,47,60.231226,24.4532002,0.00122643,0.00418854,8
14,49,60.2864558,24.6896963,0.02894211,0.1327095,7
14,7,60.2499937,24.3673468,0.09600163,0.00395679,3
14,12,60.3274507,24.9473634,0.00404358,0.00376034,12
14,13,60.2335752,24.6205545,0.00117111,0.00423145,8
14,21,60.2540954,24.7920673,0.09600163,0.00396824,1
14,24,60.3213225,25.1435308,0.00102711,0.00038338,6
14,30,60.3613485,24.8300076,0.00038338,0.31049156,7
14.5579992525,10,60.2613779873,25.0879962918,0.00402164,0.00494385,3
14.7535162989,6,60.3481486076,24.6301426417,0.0007925,0.03594208,9
15,7,60.2499937,24.3673468,0.09564114,0.00395679,3
15,12,60.3274507,24.9473634,0.00404358,0.00376034,12
15,13,60.2335752,24.6205545,0.00117111,0.00423145,8
15,49,60.2864558,24.6896963,0.02894211,0.1327095,7
15,37,60.2324749,24.9722249,0.00400066,0.00118446,11
15,41,60.3424914,25.246303,0.09564114,0.00046062,12
15,47,60.231226,24.4532002,0.00122643,0.00418854,8
15,21,60.2540954,24.7920673,0.09564114,0.00396824,7
15,24,60.3213225,25.1435308,0.00102711,0.00038338,6
15,30,60.3613485,24.8300076,0.00038338,0.31049156,7
15.3672273991,42,60.353730056,24.7296939624,0.09982777,0.00128555,3
15.3860601394,31,60.1990289923,24.6853058916,0.00433445,0.00282097,3
15.6875359106,33,60.3705500596,24.9461164183,0.09982777,0.09727955,1
15.8319223158,25,60.2664727615,24.7352371132,0.04315948,0.48324871,7
16,21,60.2540954,24.7920673,0.09982777,0.00396824,7
16,24,60.3213225,25.1435308,0.00102711,0.00038338,6
16,30,60.3613485,24.8300076,0.00038338,0.31049156,7
16,49,60.2864558,24.6896963,0.02894211,0.1327095,7
16,49,60.2864558,24.6896963,0.02894211,0.1327095,7
16,7,60.2499937,24.3673468,0.09982777,0.00395679,3
16,12,60.3274507,24.9473634,0.00404358,0.00376034,12
16,13,60.2335752,24.6205545,0.00117111,0.00423145,8
16,37,60.2324749,24.9722249,0.00400066,0.00118446,11
16,41,60.3424914,25.246303,0.09982777,0.00046062,12
16,47,60.231226,24.4532002,0.00122643,0.00418854,8
16.8147069674,29,60.3818290618,25.0250745309,0.00102711,0.00059891,10
16.8715631308,23,60.1396929864,24.5522704654,0.00199699,0.15868092,1
16.879640307,43,60.2349359157,24.8466343663,0.00044727,0.34111404,7
17,37,60.2324749,24.9722249,0.00400066,0.00118446,11
17,41,60.3424914,25.246303,0.09837055,0.00046062,12
17,47,60.231226,24.4532002,0.00122643,0.00418854,8
17,21,60.2540954,24.7920673,0.09837055,0.00396824,7
17,24,60.3213225,25.1435308,0.00102711,0.00038338,6
17,30,60.3613485,24.8300076,0.00038338,0.31049156,7
17,49,60.2864558,24.6896963,0.02894211,0.1327095,7
17,7,60.2499937,24.3673468,0.09837055,0.00395679,3
17,12,60.3274507,24.9473634,0.00404358,0.00376034,12
17,13,60.2335752,24.6205545,0.00117111,0.00423145,8
18,7,60.2499937,24.3673468,0.09605217,0.00395679,3
18,12,60.3274507,24.9473634,0.00404358,0.00376034,12
18,13,60.2335752,24.6205545,0.00117111,0.00423145,8
18,21,60.2540954,24.7920673,0.09605217,0.00396824,7
18,24,60.3213225,25.1435308,0.00102711,0.00038338,6
18,30,60.3613485,24.8300076,0.00038338,0.31049156,7
18,37,60.2324749,24.9722249,0.00400066,0.00118446,11
18,41,60.3424914,25.246303,0.09605217,0.00046062,12
18,47,60.231226,24.4532002,0.00122643,0.00418854,8
18,49,60.2864558,24.6896963,0.02894211,0.1327095,7
18.1846512724,9,60.2413245444,24.7355828899,0.0040226,0.00423145,10
18.4912498288,19,60.2450954886,24.9633829397,0.07221699,0.27805233,7
18.9832693211,20,60.1630046445,24.6645869397,0.12706947,0.56781006,11
19,7,60.2499937,24.3673468,0.0985508,0.00395679,3
19,12,60.3274507,24.9473634,0.00404358,0.00376034,12
19,13,60.2335752,24.6205545,0.00117111,0.00423145,8
19,49,60.2864558,24.6896963,0.02894211,0.1327095,7
19,21,60.2540954,24.7920673,0.0985508,0.00396824,7
19,24,60.3213225,25.1435308,0.00102711,0.00038338,6
19,30,60.3613485,24.8300076,0.00038338,0.31049156,7
19,37,60.2324749,24.9722249,0.00400066,0.00118446,11
19,41,60.3424914,25.246303,0.0985508,0.00046062,12
19,47,60.231226,24.4532002,0.00122643,0.00418854,8
19.5557453139,32,60.2742072349,24.7800685296,0.0011549,0.10888577,11
19.7024534494,28,60.4386758704,24.9803608014,0.00056744,0.54309273,11
19.7515534502,38,60.2623051561,24.8729745534,0.0011549,0.48920441,11
20,37,60.2324749,24.9722249,0.00400066,0.00118446,11
20,41,60.3424914,25.246303,0.10139465,0.00046062,12
20,47,60.231226,24.4532002,0.00122643,0.00418854,8
20,49,60.2864558,24.6896963,0.02894211,0.1327095,7
20,7,60.2499937,24.3673468,0.10139465,0.00395679,3
20,12,60.3274507,24.9473634,0.00404358,0.00376034,12
20,13,60.2335752,24.6205545,0.00117111,0.00423145,8
20,21,60.2540954,24.7920673,0.10139465,0.00396824,1
20,24,60.3213225,25.1435308,0.00102711,0.00038338,6
20,30,60.3613485,24.8300076,0.00038338,0.31049156,7
20.1456433089,34,60.4455271735,24.6946760332,0.0011549,0.75681019,11
20.2240063447,46,60.23701,25.1206123085,0.00098991,0.00046062,8
20.2866324683,35,60.3025592632,25.2464735089,0.09767342,0.00133133,5
20.3254018967,22,60.3015901939,25.1575401939,0.01783085,0.05529022,1
20.5832862874,45,60.2589992001,24.7766548027,0.09767342,0.00617027,2
21,37,60.2324749,24.9722249,0.00400066,0.00118446,11
21,41,60.3424914,25.246303,0.09767342,0.00046062,12
21,47,60.231226,24.4532002,0.00122643,0.00418854,8
21,21,60.2540954,24.7920673,0.09767342,0.00396824,1
21,24,60.3213225,25.1435308,0.00102711,0.00038338,6
21,30,60.3613485,24.8300076,0.00038338,0.31049156,11
21,49,60.2864558,24.6896963,0.02894211,0.1327095,1
21,7,60.2499937,24.3673468,0.09767342,0.00395679,3
21,12,60.3274507,24.9473634,0.00404358,0.00376034,12
21,13,60.2335752,24.6205545,0.00117111,0.00423145,8
21.3017265845,5,60.2140441853,24.6049302328,0.06208038,0.42705154,1
21.3676549552,17,60.3125430054,24.461021206,0.00053883,0.41123772,7
21.6833093218,48,60.2332993701,25.1660933758,0.09517097,0.00441742,3
22,37,60.2324749,24.9722249,0.00400066,0.00118446,11
22,41,60.3424914,25.246303,0.09517097,0.00046062,12
22,47,60.231226,24.4532002,0.00122643,0.00418854,8
22,7,60.2499937,24.3673468,0.09517097,0.00395679,3
22,12,60.3274507,24.9473634,0.00404358,0.00376034,12
22,13,60.2335752,24.6205545,0.00117111,0.00423145,8
22,21,60.2540954,24.7920673,0.09517097,0.00396824,1
22,24,60.3213225,25.1435308,0.00102711,0.00038338,6
22,30,60.3613485,24.8300076,0.00038338,0.31049156,11
22,49,60.2864558,24.6896963,0.02894211,0.1327095,1
22.1302744483,6,60.3490054656,24.6304061943,0.0007925,0.03594208,9
22.2384795369,40,60.2148935737,24.4452461822,0.0193243,0.05584717,5
22.4196092899,29,60.3809681185,25.0245581405,0.00102711,0.00059891,10
23,21,60.2540954,24.7920673,0.1007061,0.00396824,1
23,24,60.3213225,25.1435308,0.00102711,0.00038338,6
23,30,60.3613485,24.8300076,0.00038338,0.31049156,11
23,7,60.2499937,24.3673468,0.1007061,0.00395679,3
23,12,60.3274507,24.9473634,0.00404358,0.00376034,12
23,13,60.2335752,24.6205545,0.00117111,0.00423145,8
23,49,60.2864558,24.6896963,0.02894211,0.1327095,1
23,37,60.2324749,24.9722249,0.00400066,0.00118446,11
23,41,60.3424914,25.246303,0.1007061,0.00046062,12
23,47,60.231226,24.4532002,0.00122643,0.00418854,12
23.079090209,31,60.1996600928,24.6848158032,0.00433445,0.00282097,3
23.5313038659,33,60.3701541969,24.9477466387,0.09670353,0.09727955,1
24,37,60.2324749,24.9722249,0.00400066,0.00118446,11
24,41,60.3424914,25.246303,0.09670353,0.00046062,12
24,47,60.231226,24.4532002,0.00122643,0.00418854,12
24,21,60.2540954,24.7920673,0.09670353,0.00396824,1
24,24,60.3213225,25.1435308,0.00102711,0.00038338,6
24,30,60.3613485,24.8300076,0.00038338,0.31049156,11
24,7,60.2499937,24.3673468,0.09670353,0.00395679,3
24,12,60.3274507,24.9473634,0.00404358,0.00376034,12
24,13,60.2335752,24.6205545,0.00117111,0.00423145,8
24,49,60.2864558,24.6896963,0.02894211,0.1327095,1
24,49,60.2864558,24.6896963,0.02894211,0.1327095,1
24.1074592867,16,60.3160287499,24.900684583,0.03935814,0.53582478,11
25,7,60.2499937,24.3673468,0.09867191,0.00395679,3
25,12,60.3274507,24.9473634,0.00404358,0.00376034,12
25,13,60.2335752,24.6205545,0.00117111,0.00423145,8
25,21,60.2540954,24.7920673,0.09867191,0.00396824,1
25,24,60.3213225,25.1435308,0.00102711,0.00038338,6
25,30,60.3613485,24.8300076,0.00038338,0.31049156,11
25,37,60.2324749,24.9722249,0.00400066,0.00118446,11
25,41,60.3424914,25.246303,0.09867191,0.00046062,12
25,47,60.231226,24.4532002,0.00122643,0.00418854,12
25,49,60.2864558,24.6896963,0.02894211,0.1327095,1
25.3073446961,23,60.1403554244,24.5510959317,0.00199699,0.15868092,1
25.4657947642,2,60.3613194,24.44130684,0.00199699,0.17327404,1
26,7,60.2499937,24.3673468,0.10046864,0.00395679,3
26,12,60.3274507,24.9473634,0.00404358,0.00376034,12
26,13,60.2335752,24.6205545,0.00117111,0.00423145,8
26,21,60.2540954,24.7920673,0.10046864,0.00396824,1
26,24,60.3213225,25.1435308,0.00102711,0.00038338,6
26,30,60.3613485,24.8300076,0.00038338,0.31049156,11
26,49,60.2864558,24.6896963,0.02894211,0.1327095,1
26,37,60.2324749,24.9722249,0.00400066,0.00118446,11
26,41,60.3424914,25.246303,0.10046864,0.00046062,12
26,47,60.231226,24.4532002,0.00122643,0.00418854,12
26.0743270853,32,60.2737930886,24.7788627719,0.0011549,0.10888577,1
26.4450287485,39,60.2419666779,24.353572983,0.09257793,0.0054121,4
26.6812298049,50,60.2663545561,24.4828872194,0.0041008,0.00628281,6
27,49,60.2864558,24.6896963,0.02894211,0.1327095,1
27,21,60.2540954,24.7920673,0.09257793,0.00396824,7
27,24,60.3213225,25.1435308,0.00102711,0.00038338,6
27,30,60.3613485,24.8300076,0.00038338,0.31049156,11
27,7,60.2499937,24.3673468,0.09257793,0.00395679,3
27,12,60.3274507,24.9473634,0.00404358,0.00376034,12
27,13,60.2335752,24.6205545,0.00117111,0.00423145,8
27,37,60.2324749,24.9722249,0.00400066,0.00118446,11
27,41,60.3424914,25.246303,0.09257793,0.00046062,12
27,47,60.231226,24.4532002,0.00122643,0.00418854,12
27.0488432911,35,60.3033645562,25.2467978544,0.09681129,0.00133133,1
28,37,60.2324749,24.9722249,0.00400066,0.00118446,11
28,41,60.3424914,25.246303,0.09681129,0.00046062,12
28,47,60.231226,24.4532002,0.00122643,0.00418854,12
28,21,60.2540954,24.7920673,0.09681129,0.00396824,7
28,24,60.3213225,25.1435308,0.00102711,0.00038338,6
28,30,60.3613485,24.8300076,0.00038338,0.31049156,11
28,49,60.2864558,24.6896963,0.02894211,0.1327095,1
28,7,60.2499937,24.3673468,0.09681129,0.00395679,3
28,12,60.3274507,24.9473634,0.00404358,0.00376034,12
28,13,60.2335752,24.6205545,0.00117111,0.00423145,8
28.0245116124,29,60.3801171837,25.0239764759,0.00102711,0.00059891,14
28.4749039817,20,60.1624611652,24.6634384521,0.12706947,0.56781006,11
28.8948228212,27,60.2085492947,24.9961616457,0.00065708,0.00134373,9
29,21,60.2540954,24.7920673,0.09951782,0.00396824,7
29,24,60.3213225,25.1435308,0.00102711,0.00038338,6
29,30,60.3613485,24.8300076,0.00038338,0.31049156,11
29,7,60.2499937,24.3673468,0.09951782,0.00395679,3
29,12,60.3274507,24.9473634,0.00404358,0.00376034,12
29,13,60.2335752,24.6205545,0.00117111,0.00423145,8
29,37,60.2324749,24.9722249,0.00400066,0.00118446,2
29,41,60.3424914,25.246303,0.09951782,0.00046062,12
29,47,60.231226,24.4532002,0.00122643,0.00418854,12
29,49,60.2864558,24.6896963,0.02894211,0.1327095,1
29.115998505,10,60.2607404419,25.0867208838,0.00402164,0.00494385,3
29.5070325977,6,60.3498814541,24.6300097577,0.0007925,0.03594208,9
29.5536801741,28,60.4381197062,24.9811958009,0.00056744,0.54309273,11
30,21,60.2540954,24.7920673,0.10649204,0.00396824,7
30,24,60.3213225,25.1435308,0.00102711,0.00038338,6
30,30,60.3613485,24.8300076,0.00038338,0.31049156,11
30,7,60.2499937,24.3673468,0.10649204,0.00395679,3
